web-scraper-order,web-scraper-start-url,featured,featured-href,recommended,recommended-href
"1523060543-1026","https://www.youtube.com/user/TheYoungTurks/videos","Sinclair Gets Creative On How They Screw You Over","https://www.youtube.com/watch?v=cdzaxoGrd0k","Trackers Are Some Of The Most Hated (And Powerful) People In Politics (HBO)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ESAFGoX02E4"
"1523060531-926","https://www.youtube.com/user/TheYoungTurks/videos","Scott Pruitt ANNIHILATED By... Fox News???","https://www.youtube.com/watch?v=Py_SZt9el_E","Navarro: Pruitt makes DeVos look like Einstein
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=XzcBEC-87Jg"
"1523060496-648","https://www.youtube.com/user/TheYoungTurks/videos","DEA Arrests Pill-Pushing Pharmacists","https://www.youtube.com/watch?v=pMiqlgdcpb0","What a DEA agent did after being offered $3 million
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=wOI5fSU3li8"
"1523060518-841","https://www.youtube.com/user/TheYoungTurks/videos","NRA Spews Propaganda After YouTube Shooting","https://www.youtube.com/watch?v=3k8LK0wpHzs","The Most Horrifying Artificial Insemination Story EVER
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=xjQ9D9uCPjw"
"1523060523-877","https://www.youtube.com/user/TheYoungTurks/videos","The Most Horrifying Artificial Insemination Story EVER","https://www.youtube.com/watch?v=xjQ9D9uCPjw","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060528-924","https://www.youtube.com/user/TheYoungTurks/videos","CORRECTION: Pulse Shooter Wasn't Gay, Just Regular Terrorist","https://www.youtube.com/watch?v=vFCAFZGsGYs","EXPOSED: Billionaire Bigots Spreading Anti-Muslim Propaganda
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=6kaoC2eP6Vc"
"1523060538-993","https://www.youtube.com/user/TheYoungTurks/videos","Ted Cruz Gets Owned By EPIC Question","https://www.youtube.com/watch?v=f8enlSLorhM","What Al Franken Said To Ted Cruz That Left Him Speechless | All In | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ICblNtGZHpY"
"1523060488-594","https://www.youtube.com/user/TheYoungTurks/videos","Judge Rules Mass Shooter Fanboy OK To Buy Guns","https://www.youtube.com/watch?v=Gr0KVzcIqVM","Rock Island Armory M1911  Tactical II
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=4149nqq3KDc"
"1523060511-784","https://www.youtube.com/user/TheYoungTurks/videos","How Close Is America To Realizing MLK's Dream?","https://www.youtube.com/watch?v=0x76GbrZGjg","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060493-644","https://www.youtube.com/user/TheYoungTurks/videos","White Supremacy World With Tucker Carlson","https://www.youtube.com/watch?v=0m6Xz6s0EdI","#1 Trump Leaker EXPOSED
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=6WVNtQB5FPs"
"1523060483-558","https://www.youtube.com/user/TheYoungTurks/videos","Can These Super Strong Progressives Really Beat the Top Politicians in the Country?","https://www.youtube.com/watch?v=AQZFB0mD6OA","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
