web-scraper-order,web-scraper-start-url,featured,featured-href,recommended,recommended-href
"1523063662-154","https://www.youtube.com/user/FoxNewsChannel/videos","New foam could provide better protection than tank armor","https://www.youtube.com/watch?v=8yqX7m6wJN8","The Most Ridiculous Things Only RICH People Buy!
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=S04_yLnhxmM"
"1523063668-179","https://www.youtube.com/user/FoxNewsChannel/videos","Popularity soars for winter sport of curling across America","https://www.youtube.com/watch?v=npui2mJCChA","It Only Had One Pass Left, and They MADE IT COUNT!
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=bPUA198WrLM"
"1523063668-178","https://www.youtube.com/user/FoxNewsChannel/videos","Popularity soars for winter sport of curling across America","https://www.youtube.com/watch?v=npui2mJCChA","'The Pope's Choir' announces first-ever U.S. National tour
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=iNGd64nt2Wk"
"1523063642-10","https://www.youtube.com/user/FoxNewsChannel/videos","Is Jay-Z promoting a divisive message?","https://www.youtube.com/watch?v=7KzHrL8_mWA","🇮🇹  OG GUIDO Sizzle Reel Cast Reactions | Jersey Shore: Family Vacation | MTV
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=zopTkefjBFI"
"1523063647-37","https://www.youtube.com/user/FoxNewsChannel/videos","Teen with Down syndrome booted from Alaska Airline flight","https://www.youtube.com/watch?v=7_O9Q8GdLnc","Neighbors From Hell | 20/20 | ABC News
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=RCkNCOA5u-g"
"1523063678-255","https://www.youtube.com/user/FoxNewsChannel/videos","Trump wants up to 4,000 National Guard troops to border","https://www.youtube.com/watch?v=rqIhMd9JEdE","Every AFC Team's Last 10 1st Round Picks & How they Fared in the NFL | NFL Highlights
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=lqxPuyUm6FM"
"1523063678-247","https://www.youtube.com/user/FoxNewsChannel/videos","Trump wants up to 4,000 National Guard troops to border","https://www.youtube.com/watch?v=rqIhMd9JEdE","Bowe Bergdahl responds to those who called him a traitor
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=TyvcY2DH4fg"
"1523063693-360","https://www.youtube.com/user/FoxNewsChannel/videos","Candidates from both parties vie for Kasich seat","https://www.youtube.com/watch?v=gCyjzGH8FH4","China vows to retaliate if Trump adds tariffs
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=wwsv4hJlmjc"
"1523063660-130","https://www.youtube.com/user/FoxNewsChannel/videos","WILD video: Fierce battle between a bobcat and rattlesnake","https://www.youtube.com/watch?v=1FdvZjFa5pM","Former CFO Now Unemployed, on Food Stamps After Viral Video
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=8LqoLBQ68Uw"
"1523063644-25","https://www.youtube.com/user/FoxNewsChannel/videos","Rivera: Wall has become mythical feature of Trump's agenda","https://www.youtube.com/watch?v=DOOnw7Yv9oQ","Tucker takes on O'Malley on Dems refusing to protect border
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=KvpnMooNWQg"
